mileage,make,model,fuel,gear,offerType,price,hp,year,price_log,car_age,pred,residual,abs_error
19950,Opel,Adam,Gasoline,Manual,Used,12497,"87,0",2019,"9,433243894485784",3,"9,394386734583815","0,03885715990196914","0,03885715990196914"
169433,Opel,Astra,Diesel,Manual,Used,8680,"160,0",2016,"9,068776807654396",6,"9,056688451377058","0,012088356277338619","0,012088356277338619"
68250,Skoda,Fabia,Gasoline,Manual,Used,5400,"69,0",2014,"8,594154232552366",8,"8,740494897923723","-0,1463406653713566","0,1463406653713566"
208000,Volkswagen,Jetta,Diesel,Automatic,Used,7999,"140,0",2013,"8,987071812848821",9,"9,110330423813263","-0,12325861096444157","0,12325861096444157"
83000,Volkswagen,Golf,Gasoline,Manual,Used,10929,"105,0",2014,"9,299175085676673",8,"9,138640645543791","0,16053444013288143","0,16053444013288143"
49891,Skoda,Fabia,Gasoline,Manual,Used,9900,"75,0",2017,"9,20029003612268",5,"9,072357665950268","0,1279323701724131","0,1279323701724131"
25000,Opel,Corsa,Gasoline,Manual,Used,6250,"87,0",2013,"8,740336742730447",9,"8,927166285480334","-0,18682954274988717","0,18682954274988717"
83524,Volkswagen,Touran,Diesel,Automatic,Used,19580,"150,0",2017,"9,8822639160845",5,"9,848879782615889","0,03338413346861202","0,03338413346861202"
4515,Volkswagen,T-Roc,Diesel,Automatic,Used,27280,"150,0",2019,"10,213909111957399",3,"10,285132516812768","-0,0712234048553686","0,0712234048553686"
129395,Ford,Focus,Diesel,Manual,Used,9445,"120,0",2018,"9,15324077993561",4,"9,303067532413692","-0,14982675247808253","0,14982675247808253"
80127,Ford,Focus,Gasoline,Manual,Used,7299,"125,0",2013,"8,895492631451633",9,"9,05239030589303","-0,15689767444139768","0,15689767444139768"
71945,Volkswagen,up!,Gasoline,Manual,Used,7900,"75,0",2013,"8,974618038455112",9,"8,696827774467511","0,2777902639876011","0,2777902639876011"
84833,Volkswagen,Passat Variant,Gasoline,Manual,Used,8990,"122,0",2011,"9,103868127465667",11,"9,061210064871117","0,042658062594549406","0,042658062594549406"
9844,Volkswagen,Polo,Gasoline,Manual,Pre-registered,14990,"95,0",2020,"9,615138591096644",2,"9,674522559140149","-0,05938396804350532","0,05938396804350532"
1250,Renault,Twingo,Gasoline,Manual,Used,12500,"73,0",2020,"9,433483923290392",2,"9,37303729570945","0,06044662758094255","0,06044662758094255"
